Origin,Destination,Via_Hub,Fare_Udeung,Remarks
담양,진도,직통,18200,전남 관내
담양,남악,직통,10100,전남 관내
곡성,광주,직통,5500,전남 관내
곡성,목포,직통,12700,전남 관내
곡성,여수,직통,18500,전남 관내
곡성,순천,직통,9800,전남 관내
곡성,나주,직통,9800,전남 관내
곡성,광양,직통,13900,전남 관내
곡성,담양,직통,8400,전남 관내
곡성,구례,직통,4300,전남 관내
곡성,고흥,직통,21400,전남 관내
곡성,보성,직통,17300,전남 관내
곡성,화순,직통,8000,전남 관내
곡성,장흥,직통,17000,전남 관내
곡성,강진,직통,17200,전남 관내
곡성,해남,직통,19200,전남 관내
곡성,영암,직통,14200,전남 관내
곡성,무안,직통,11500,전남 관내
곡성,함평,직통,8800,전남 관내
곡성,영광,직통,12800,전남 관내
곡성,장성,직통,7900,전남 관내
곡성,완도,직통,23000,전남 관내
곡성,진도,직통,20800,전남 관내
곡성,남악,직통,12700,전남 관내
구례,광주,직통,9800,전남 관내
구례,목포,직통,17000,전남 관내
구례,여수,직통,10200,전남 관내
구례,순천,직통,5200,전남 관내
구례,나주,직통,14100,전남 관내
구례,광양,직통,7700,전남 관내
구례,담양,직통,12700,전남 관내
구례,곡성,직통,4300,전남 관내
구례,고흥,직통,13900,전남 관내
구례,보성,직통,13100,전남 관내
구례,화순,직통,12300,전남 관내
구례,장흥,직통,16300,전남 관내
구례,강진,직통,18700,전남 관내
구례,해남,직통,21800,전남 관내
구례,영암,직통,18500,전남 관내
구례,무안,직통,15800,전남 관내
구례,함평,직통,14300,전남 관내
구례,영광,직통,17100,전남 관내
구례,장성,직통,12200,전남 관내
구례,완도,직통,28400,전남 관내
구례,진도,직통,29100,전남 관내
구례,남악,직통,19000,전남 관내
고흥,광주,직통,21000,전남 관내
고흥,목포,직통,18600,전남 관내
고흥,여수,직통,13600,전남 관내
고흥,순천,직통,8700,전남 관내
고흥,나주,직통,20500,전남 관내
고흥,광양,직통,10200,전남 관내
고흥,담양,직통,19100,전남 관내
고흥,곡성,직통,21400,전남 관내
고흥,구례,직통,13900,전남 관내
고흥,보성,직통,9900,전남 관내
고흥,화순,직통,13700,전남 관내
고흥,장흥,직통,13100,전남 관내
고흥,강진,직통,14200,전남 관내
고흥,해남,직통,18600,전남 관내
고흥,영암,직통,19500,전남 관내
고흥,무안,직통,22200,전남 관내
고흥,함평,직통,20700,전남 관내
고흥,영광,직통,23500,전남 관내
고흥,장성,직통,18600,전남 관내
고흥,완도,직통,25200,전남 관내
고흥,진도,직통,25900,전남 관내
고흥,남악,직통,23400,전남 관내
보성,광주,직통,11500,전남 관내
보성,목포,직통,13500,전남 관내
보성,여수,직통,12800,전남 관내
보성,순천,직통,7900,전남 관내
보성,나주,직통,14800,전남 관내
보성,광양,직통,9900,전남 관내
보성,담양,직통,13400,전남 관내
보성,곡성,직통,17300,전남 관내
보성,구례,직통,13100,전남 관내
보성,고흥,직통,9900,전남 관내
보성,화순,직통,7800,전남 관내
보성,장흥,직통,3200,전남 관내
보성,강진,직통,5700,전남 관내
보성,해남,직통,8700,전남 관내
보성,영암,직통,7800,전남 관내
보성,무안,직통,16700,전남 관내
보성,함평,직통,15000,전남 관내
보성,영광,직통,17800,전남 관내
보성,장성,직통,12900,전남 관내
보성,완도,직통,15400,전남 관내
보성,진도,직통,16000,전남 관내
보성,남악,직통,13500,전남 관내
화순,광주,직통,2500,전남 관내
화순,목포,직통,9700,전남 관내
화순,여수,직통,15500,전남 관내
화순,순천,직통,9700,전남 관내
화순,나주,직통,6800,전남 관내
화순,광양,직통,10900,전남 관내
화순,담양,직통,8000,전남 관내
화순,곡성,직통,8000,전남 관내
화순,구례,직통,12300,전남 관내
화순,고흥,직통,13700,전남 관내
화순,보성,직통,7800,전남 관내
화순,장흥,직통,10000,전남 관내
화순,강진,직통,11400,전남 관내
화순,해남,직통,16500,전남 관내
화순,영암,직통,11200,전남 관내
화순,무안,직통,8500,전남 관내
화순,함평,직통,7000,전남 관내
화순,영광,직통,9800,전남 관내
화순,장성,직통,4900,전남 관내
화순,완도,직통,23000,전남 관내
화순,진도,직통,17800,전남 관내
화순,남악,직통,9700,전남 관내
장흥,광주,직통,14900,전남 관내
장흥,목포,직통,10200,전남 관내
장흥,여수,직통,16100,전남 관내
장흥,순천,직통,11100,전남 관내
장흥,나주,직통,9000,전남 관내
장흥,광양,직통,13200,전남 관내
장흥,담양,직통,14400,전남 관내
장흥,곡성,직통,17000,전남 관내
장흥,구례,직통,16300,전남 관내
장흥,고흥,직통,13100,전남 관내
장흥,보성,직통,3200,전남 관내
장흥,화순,직통,10000,전남 관내
장흥,강진,직통,11400,전남 관내
장흥,해남,직통,16500,전남 관내
장흥,영암,직통,11200,전남 관내
장흥,무안,직통,8500,전남 관내
장흥,함평,직통,7000,전남 관내
장흥,영광,직통,9800,전남 관내
장흥,장성,직통,4900,전남 관내
장흥,완도,직통,2300,전남 관내
장흥,진도,직통,17800,전남 관내
장흥,남악,직통,9700,전남 관내
강진,광주,직통,15200,전남 관내
강진,목포,직통,7800,전남 관내
강진,여수,직통,18500,전남 관내
강진,순천,직통,13500,전남 관내
강진,나주,직통,8200,전남 관내
강진,광양,직통,15600,전남 관내
강진,담양,직통,14600,전남 관내
강진,곡성,직통,17200,전남 관내
강진,구례,직통,18700,전남 관내
강진,고흥,직통,14200,전남 관내
강진,보성,직통,5700,전남 관내
강진,화순,직통,11400,전남 관내
강진,장흥,직통,2400,전남 관내
강진,해남,직통,3000,전남 관내
강진,영암,직통,3900,전남 관내
강진,무안,직통,11000,전남 관내
강진,함평,직통,11600,전남 관내
강진,영광,직통,16500,전남 관내
강진,장성,직통,14100,전남 관내
강진,완도,직통,7300,전남 관내
강진,진도,직통,10300,전남 관내
강진,남악,직통,7600,전남 관내
해남,광주,직통,16900,전남 관내
해남,목포,직통,8700,전남 관내
해남,여수,직통,21500,전남 관내
해남,순천,직통,16600,전남 관내
해남,나주,직통,9900,전남 관내
해남,광양,직통,19100,전남 관내
해남,담양,직통,16600,전남 관내
해남,곡성,직통,19200,전남 관내
해남,구례,직통,21800,전남 관내
해남,고흥,직통,18600,전남 관내
해남,보성,직통,8700,전남 관내
해남,화순,직통,16500,전남 관내
해남,장흥,직통,5400,전남 관내
해남,강진,직통,3000,전남 관내
해남,영암,직통,4900,전남 관내
해남,무안,직통,11900,전남 관내
해남,함평,직통,13800,전남 관내
해남,영광,직통,17400,전남 관내
해남,장성,직통,16100,전남 관내
해남,완도,직통,8200,전남 관내
해남,진도,직통,7300,전남 관내
해남,남악,직통,8500,전남 관내
영암,광주,직통,8700,전남 관내
영암,목포,직통,6400,전남 관내
영암,여수,직통,22400,전남 관내
영암,순천,직통,17500,전남 관내
영암,나주,직통,4400,전남 관내
영암,광양,직통,19500,전남 관내
영암,담양,직통,11600,전남 관내
영암,곡성,직통,14200,전남 관내
영암,구례,직통,18500,전남 관내
영암,고흥,직통,19500,전남 관내
영암,보성,직통,7800,전남 관내
영암,화순,직통,11200,전남 관내
영암,장흥,직통,4600,전남 관내
영암,강진,직통,3900,전남 관내
영암,해남,직통,4900,전남 관내
영암,무안,직통,9600,전남 관내
영암,함평,직통,7700,전남 관내
영암,영광,직통,11800,전남 관내
영암,장성,직통,11100,전남 관내
영암,완도,직통,11600,전남 관내
영암,진도,직통,10300,전남 관내
영암,남악,직통,3700,전남 관내
무안,광주,직통,7800,전남 관내
무안,목포,직통,3200,전남 관내
무안,여수,직통,19000,전남 관내
무안,순천,직통,18200,전남 관내
무안,나주,직통,4100,전남 관내
무안,광양,직통,14400,전남 관내
무안,담양,직통,8900,전남 관내
무안,곡성,직통,11500,전남 관내
무안,구례,직통,15800,전남 관내
무안,고흥,직통,22200,전남 관내
무안,보성,직통,16700,전남 관내
무안,화순,직통,8500,전남 관내
무안,장흥,직통,13400,전남 관내
무안,강진,직통,11000,전남 관내
무안,해남,직통,11900,전남 관내
무안,영암,직통,9600,전남 관내
무안,함평,직통,2500,전남 관내
무안,영광,직통,5500,전남 관내
무안,장성,직통,8400,전남 관내
무안,완도,직통,18900,전남 관내
무안,진도,직통,11500,전남 관내
무안,남악,직통,3700,전남 관내
함평,광주,직통,5800,전남 관내
함평,목포,직통,5100,전남 관내
함평,여수,직통,17500,전남 관내
함평,순천,직통,12900,전남 관내
함평,나주,직통,3700,전남 관내
함평,광양,직통,12900,전남 관내
함평,담양,직통,7400,전남 관내
함평,곡성,직통,8800,전남 관내
함평,구례,직통,14300,전남 관내
함평,고흥,직통,20700,전남 관내
함평,보성,직통,15000,전남 관내
함평,화순,직통,7000,전남 관내
함평,장흥,직통,15300,전남 관내
함평,강진,직통,11600,전남 관내
함평,해남,직통,13800,전남 관내
함평,영암,직통,7700,전남 관내
함평,무안,직통,2500,전남 관내
함평,영광,직통,3600,전남 관내
함평,장성,직통,6900,전남 관내
함평,완도,직통,20800,전남 관내
함평,진도,직통,13400,전남 관내
함평,남악,직통,6800,전남 관내
영광,광주,직통,9500,전남 관내
영광,목포,직통,8700,전남 관내
영광,여수,직통,20300,전남 관내
영광,순천,직통,15700,전남 관내
영광,나주,직통,7400,전남 관내
영광,광양,직통,15700,전남 관내
영광,담양,직통,10200,전남 관내
영광,곡성,직통,12800,전남 관내
영광,구례,직통,17100,전남 관내
영광,고흥,직통,23500,전남 관내
영광,보성,직통,17800,전남 관내
영광,화순,직통,9800,전남 관내
영광,장흥,직통,18900,전남 관내
영광,강진,직통,16500,전남 관내
영광,해남,직통,17400,전남 관내
영광,영암,직통,11800,전남 관내
영광,무안,직통,5500,전남 관내
영광,함평,직통,3600,전남 관내
영광,장성,직통,5900,전남 관내
영광,완도,직통,24400,전남 관내
영광,진도,직통,17000,전남 관내
영광,남악,직통,8700,전남 관내
장성,광주,직통,2400,전남 관내
장성,목포,직통,9600,전남 관내
장성,여수,직통,10800,전남 관내
장성,순천,직통,6700,전남 관내
장성,나주,직통,10800,전남 관내
장성,광양,직통,5300,전남 관내
장성,담양,직통,7900,전남 관내
장성,곡성,직통,12200,전남 관내
장성,구례,직통,18600,전남 관내
장성,고흥,직통,12900,전남 관내
장성,보성,직통,4900,전남 관내
장성,화순,직통,13900,전남 관내
장성,장흥,직통,14100,전남 관내
장성,강진,직통,16100,전남 관내
장성,해남,직통,11100,전남 관내
장성,영암,직통,8400,전남 관내
장성,무안,직통,6900,전남 관내
장성,함평,직통,5900,전남 관내
장성,진도,직통,14000,전남 관내
장성,남악,직통,15500,전남 관내
완도,광주,직통,24800,전남 관내
완도,목포,직통,15700,전남 관내
완도,여수,직통,28200,전남 관내
완도,순천,직통,23200,전남 관내
완도,나주,직통,16600,전남 관내
완도,광양,직통,25800,전남 관내
완도,담양,직통,23400,전남 관내
완도,곡성,직통,23000,전남 관내
완도,구례,직통,28400,전남 관내
완도,고흥,직통,25200,전남 관내
완도,보성,직통,15400,전남 관내
완도,화순,직통,23000,전남 관내
완도,장흥,직통,12100,전남 관내
완도,강진,직통,7300,전남 관내
완도,해남,직통,8200,전남 관내
완도,영암,직통,11600,전남 관내
완도,무안,직통,18900,전남 관내
완도,함평,직통,20800,전남 관내
완도,영광,직통,24400,전남 관내
완도,장성,직통,22900,전남 관내
완도,진도,직통,14000,전남 관내
완도,남악,직통,15500,전남 관내
진도,광주,직통,19900,전남 관내
진도,목포,직통,10800,전남 관내
진도,여수,직통,24800,전남 관내
진도,순천,직통,23900,전남 관내
진도,나주,직통,17200,전남 관내
진도,광양,직통,23400,전남 관내
진도,담양,직통,18200,전남 관내
진도,곡성,직통,20800,전남 관내
진도,구례,직통,29100,전남 관내
진도,고흥,직통,25900,전남 관내
진도,보성,직통,16000,전남 관내
진도,화순,직통,17800,전남 관내
진도,장흥,직통,12700,전남 관내
진도,강진,직통,10300,전남 관내
진도,해남,직통,7300,전남 관내
진도,영암,직통,10300,전남 관내
진도,무안,직통,11500,전남 관내
진도,함평,직통,13400,전남 관내
진도,영광,직통,17000,전남 관내
진도,장성,직통,17700,전남 관내
진도,완도,직통,14000,전남 관내
진도,남악,직통,10100,전남 관내
남악,광주,직통,9300,전남 관내
남악,목포,직통,1700,전남 관내
남악,여수,직통,20200,전남 관내
남악,순천,직통,13800,전남 관내
남악,나주,직통,9000,전남 관내
남악,광양,직통,11700,전남 관내
남악,담양,직통,10100,전남 관내
남악,곡성,직통,12700,전남 관내
남악,구례,직통,19000,전남 관내
남악,고흥,직통,23400,전남 관내
남악,보성,직통,13500,전남 관내
남악,화순,직통,9700,전남 관내
남악,장흥,직통,10000,전남 관내
남악,강진,직통,7600,전남 관내
남악,해남,직통,8500,전남 관내
남악,영암,직통,3700,전남 관내
남악,무안,직통,3700,전남 관내
남악,함평,직통,6800,전남 관내
남악,영광,직통,8700,전남 관내
남악,장성,직통,9600,전남 관내
